day;01001;01002;01003;01004;01051;01053;01054;01055;01056;01057;01058;01059;01060;01061;01062;02000;03101;03102;03103;03151;03153;03154;03155;03157;03158;03159;03241;03251;03252;03254;03255;03256;03257;03351;03352;03353;03354;03355;03356;03357;03358;03359;03360;03361;03401;03402;03403;03404;03405;03451;03452;03453;03454;03455;03456;03457;03458;03459;03460;03461;03462;04011;04012;05111;05112;05113;05114;05116;05117;05119;05120;05122;05124;05154;05158;05162;05166;05170;05314;05315;05316;05334;05358;05362;05366;05370;05374;05378;05382;05512;05513;05515;05554;05558;05562;05566;05570;05711;05754;05758;05762;05766;05770;05774;05911;05913;05914;05915;05916;05954;05958;05962;05966;05970;05974;05978;06411;06412;06413;06414;06431;06432;06433;06434;06435;06436;06437;06438;06439;06440;06531;06532;06533;06534;06535;06611;06631;06632;06633;06634;06635;06636;07111;07131;07132;07133;07134;07135;07137;07138;07140;07141;07143;07211;07231;07232;07233;07235;07311;07312;07313;07314;07315;07316;07317;07318;07319;07320;07331;07332;07333;07334;07335;07336;07337;07338;07339;07340;08111;08115;08116;08117;08118;08119;08121;08125;08126;08127;08128;08135;08136;08211;08212;08215;08216;08221;08222;08225;08226;08231;08235;08236;08237;08311;08315;08316;08317;08325;08326;08327;08335;08336;08337;08415;08416;08417;08421;08425;08426;08435;08436;08437;09161;09162;09163;09171;09172;09173;09174;09175;09176;09177;09178;09179;09180;09181;09182;09183;09184;09185;09186;09187;09188;09189;09190;09261;09262;09263;09271;09272;09273;09274;09275;09276;09277;09278;09279;09361;09362;09363;09371;09372;09373;09374;09375;09376;09377;09461;09462;09463;09464;09471;09472;09473;09474;09475;09476;09477;09478;09479;09561;09562;09563;09564;09565;09571;09572;09573;09574;09575;09576;09577;09661;09662;09663;09671;09672;09673;09674;09675;09676;09677;09678;09679;09761;09762;09763;09764;09771;09772;09773;09774;09775;09776;09777;09778;09779;09780;10041;10042;10043;10044;10045;10046;11001;11002;11003;11004;11005;11006;11007;11008;11009;11010;11011;11012;12051;12052;12053;12054;12060;12061;12062;12063;12064;12065;12066;12067;12068;12069;12070;12071;12072;12073;13003;13004;13071;13072;13073;13074;13075;13076;14511;14521;14522;14523;14524;14612;14625;14626;14627;14628;14713;14729;14730;15001;15002;15003;15081;15082;15083;15084;15085;15086;15087;15088;15089;15090;15091;16051;16052;16053;16054;16055;16056;16061;16062;16063;16064;16065;16066;16067;16068;16069;16070;16071;16072;16073;16074;16075;16076;16077;99999
2015-KW46;0;1;0;1;2;3;0;1;2;2;4;0;4;0;2;5;3;0;3;0;1;1;0;2;2;3;5;0;1;14;0;0;1;0;1;0;1;0;0;3;1;2;0;3;0;3;0;0;0;0;2;2;0;1;2;2;0;1;2;0;0;3;0;3;2;3;0;3;0;0;1;0;0;0;7;3;1;0;2;6;0;2;2;3;1;1;1;0;0;0;1;0;3;0;1;4;2;1;3;1;4;0;1;4;2;0;1;1;0;1;3;2;0;0;0;4;0;6;1;1;0;0;3;2;4;0;0;1;1;1;1;0;2;2;1;4;1;2;1;2;1;1;0;1;0;1;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0;0;0;0;1;0;0;5;0;2;2;0;0;0;3;0;2;0;1;0;3;0;0;0;7;1;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;2;2;0;1;0;1;1;1;0;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;5;1;0;0;3;3;0;1;0;1;0;1;0;0;0;0;0;2;0;0;0;2;0;0;1;1;0;1;7;0;0;1;0;1;3;4;0;1;2;0;2;0;2;1;1;0;1;0;2;1;0;1;2;0;3;0;0;2;0;0;0;3;3;0;2;3;1;1;4;1;7;8;4;3;5;2;4;3;2;4;3;2;0;4;1;1;0;3;0;3;0;0;0;0;0;1;2;7;0;2;0;0;0;0;2;0;1;1;2;0;0;1;0;0;0;0;0;1;33;0
2015-KW47;0;2;2;0;1;0;5;1;0;0;2;0;4;1;0;5;0;2;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;1;1;0;1;1;3;0;2;0;1;4;0;0;3;0;0;4;0;3;0;1;0;1;0;0;0;0;1;1;1;4;2;2;2;0;0;2;0;1;1;0;3;1;1;0;0;1;0;0;0;0;0;2;4;2;0;2;3;4;0;0;0;0;1;0;4;3;0;0;0;4;0;3;0;0;0;0;1;0;0;0;0;3;1;0;3;5;2;3;0;0;0;0;1;4;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0;0;1;1;1;1;2;1;1;1;0;0;0;1;1;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;3;2;0;1;0;1;0;0;2;0;0;3;0;1;1;0;2;0;1;0;0;2;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;1;0;0;1;0;1;1;0;2;0;0;0;0;3;0;0;0;3;0;0;0;0;0;1;0;0;1;0;1;0;0;1;2;2;6;1;0;0;2;2;1;1;0;2;6;0;0;0;0;0;0;1;1;0;2;1;0;1;0;2;1;2;1;0;1;4;0;3;2;1;3;3;1;0;0;4;16;5;2;1;0;0;2;4;1;4;2;7;0;6;2;1;1;0;2;3;0;0;2;0;1;5;0;3;0;1;0;0;1;1;0;1;0;3;0;0;0;2;0;0;1;1;0;0;3;0
2015-KW48;0;2;1;0;0;0;0;2;0;1;0;1;5;0;2;10;2;2;0;1;1;0;0;2;2;2;6;1;1;2;2;0;0;1;0;0;1;1;0;0;1;2;0;0;0;0;0;0;1;1;0;0;4;1;0;3;1;0;0;0;1;0;0;1;2;1;0;1;0;0;0;0;0;0;1;1;1;1;0;4;0;3;2;1;0;0;0;1;3;0;1;2;2;0;0;2;2;2;1;0;0;3;0;4;0;2;0;0;0;1;8;0;1;1;0;3;0;2;1;2;1;0;2;0;7;0;0;1;2;0;1;1;1;1;1;1;1;1;2;1;3;0;0;0;0;3;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;0;0;0;0;0;0;1;0;2;0;0;2;2;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;6;0;0;2;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;2;0;0;3;0;5;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;2;0;2;0;0;0;0;0;1;2;0;1;0;0;3;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;2;1;1;0;1;0;0;0;0;1;0;0;3;3;1;1;1;2;0;2;1;0;0;4;0;4;2;0;2;2;3;4;8;0;32;26;0;2;2;4;0;1;0;2;0;1;3;2;1;0;0;0;4;0;2;1;0;0;0;0;0;0;0;0;1;3;0;0;0;2;0;0;1;0;0;1;1;0
2015-KW49;0;1;1;1;0;3;6;1;1;0;3;3;1;0;1;22;2;2;1;0;2;0;0;0;0;0;14;1;1;0;0;0;1;0;0;2;1;0;0;0;0;1;0;0;0;0;1;1;1;0;2;1;1;2;0;2;1;1;0;0;0;3;0;2;1;1;0;2;0;0;0;3;1;0;2;1;0;2;0;0;3;1;0;4;4;0;0;0;3;0;2;2;0;1;1;1;1;2;4;2;1;2;0;1;2;1;0;3;0;1;1;3;0;0;0;3;0;6;0;0;0;1;2;2;2;2;0;1;1;1;1;5;0;3;4;0;0;5;0;0;1;0;0;0;1;2;1;0;1;1;0;1;1;4;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;7;1;2;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;2;0;0;0;1;0;3;1;0;8;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;0;0;5;0;1;1;1;0;0;3;0;0;0;1;1;1;0;3;0;0;0;2;0;1;0;1;1;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;2;1;1;0;0;0;0;4;0;0;2;1;2;0;0;0;3;0;0;0;0;2;0;0;1;0;0;0;2;3;0;0;0;0;0;2;0;1;0;0;0;2;3;2;2;0;2;4;0;0;0;3;0;0;1;0;2;1;1;5;2;1;1;1;0;1;2;0;2;0;2;2;4;4;1;2;3;1;2;3;1;13;3;0;3;4;3;0;4;0;0;0;0;2;2;0;1;1;0;3;0;0;1;2;0;0;0;0;0;3;1;1;1;2;2;0;1;2;0;0;0;1;2;2;0
2015-KW50;0;1;0;2;0;5;0;0;0;1;1;0;1;0;0;10;0;0;0;0;0;0;0;0;1;0;1;2;2;2;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;2;3;2;2;2;3;1;0;0;0;0;1;0;0;4;1;0;0;0;4;1;0;1;2;0;0;1;2;1;0;1;0;2;1;1;2;2;4;3;2;2;1;1;4;2;2;0;3;0;0;4;3;1;2;0;4;0;7;1;0;0;1;1;1;5;1;0;1;1;3;2;2;0;4;0;1;1;2;0;1;1;0;0;2;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;1;0;0;1;1;1;1;3;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;2;1;1;0;0;1;0;0;0;0;2;4;1;1;10;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;2;0;0;0;1;1;0;0;0;0;0;1;9;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;5;0;0;1;3;0;0;0;1;2;0;0;1;0;0;0;1;3;0;0;0;1;0;0;1;0;1;0;0;2;1;0;0;0;0;1;0;0;1;1;0;2;0;0;3;1;0;4;6;0;1;0;1;1;0;0;0;1;1;3;5;3;6;0;4;5;2;1;5;7;9;3;2;4;5;2;23;0;3;1;0;2;4;0;0;1;1;3;2;1;0;0;0;0;1;1;0;2;3;1;0;1;0;0;3;1;0;1;0;0;0;3;0
2015-KW51;0;3;0;2;0;2;0;2;1;0;0;0;3;0;1;19;0;0;0;0;0;1;1;0;1;2;5;0;1;2;0;1;10;1;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;2;0;0;1;1;0;1;2;1;1;1;0;3;1;3;0;1;2;0;0;2;1;1;1;2;1;0;1;3;0;2;0;2;1;0;0;0;1;0;0;1;1;0;0;1;0;3;3;1;2;0;0;1;0;3;0;0;0;0;2;2;0;4;0;1;0;7;1;1;1;0;1;1;2;1;0;1;1;0;1;0;2;1;3;1;1;2;2;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;2;0;1;0;0;2;2;1;2;2;2;1;2;2;0;0;0;2;0;3;1;1;1;0;0;1;0;0;0;0;1;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;6;0;1;0;0;1;0;0;0;0;4;1;0;0;0;3;0;0;5;2;1;2;0;0;1;2;0;1;0;1;1;0;0;7;0;0;1;3;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;3;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;2;1;1;2;0;2;0;0;0;0;1;2;0;1;0;1;1;1;8;0;0;0;2;1;0;0;0;1;1;4;5;5;2;7;2;11;2;6;8;26;10;4;4;0;6;1;4;1;0;0;0;3;2;0;2;4;0;3;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;3;0;2;2;0
2015-KW52;1;1;0;2;0;0;2;0;1;0;0;0;1;0;0;12;1;0;1;3;1;0;0;2;0;1;2;1;0;2;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;1;0;0;0;0;1;0;0;1;2;0;2;2;2;0;1;0;1;0;0;0;1;4;0;0;1;2;0;0;5;0;1;1;1;2;0;0;1;0;3;0;1;0;0;3;1;0;1;1;3;0;5;0;3;0;0;1;0;14;0;0;0;0;2;1;1;2;0;2;0;1;1;2;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;3;1;0;2;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;3;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;3;2;0;0;0;0;1;0;0;0;1;2;0;0;1;0;0;2;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;3;0;2;0;0;1;2;1;0;0;1;0;0;0;0;1;0;1;1;1;1;0;2;1;1;1;2;0;4;0;7;0;2;0;1;1;0;5;4;20;9;1;3;0;1;0;2;0;1;0;3;4;2;0;0;1;0;1;1;0;0;0;0;0;0;1;0;2;1;1;0;0;0;2;0;0;0;3;0;1;0;0;0
2015-KW53;0;0;0;2;0;0;0;1;0;0;1;1;2;0;2;5;1;0;0;0;0;0;0;0;2;1;3;1;0;0;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;1;2;0;0;1;2;0;0;2;0;1;0;0;0;1;0;0;2;1;2;0;0;2;2;1;3;2;1;2;1;1;0;1;0;0;2;0;2;1;0;0;1;0;7;0;2;1;0;0;1;2;1;0;0;0;1;0;2;0;7;0;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;1;0;2;0;0;2;0;2;0;0;1;0;0;0;1;2;0;0;0;1;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;7;2;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;2;1;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;3;0;1;0;0;3;1;0;2;1;2;1;0;0;2;1;0;0;0;3;0;0;1;1;3;0;0;2;0;0;1;0;0;0;0;2;0;1;4;2;2;3;3;1;2;1;3;3;5;9;2;0;0;4;0;4;0;0;1;0;0;5;0;0;0;0;1;0;2;1;0;2;0;0;3;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;3;0
2016-KW01;1;0;1;0;0;0;0;0;0;2;0;1;1;0;2;10;1;2;0;0;0;1;0;0;0;1;5;1;2;0;0;1;0;1;3;0;2;0;1;1;0;0;1;0;0;2;1;0;0;0;0;2;0;0;0;1;0;1;4;0;0;2;0;2;0;3;2;0;0;0;0;0;2;2;0;0;0;0;3;13;1;2;0;2;1;3;1;0;6;0;4;0;0;0;4;1;2;1;3;0;6;1;3;0;0;3;0;0;0;1;3;5;0;0;1;0;1;3;0;4;1;0;1;1;3;2;0;1;0;0;1;0;0;4;1;1;2;2;2;0;0;0;0;2;0;1;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4;1;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;2;2;0;1;3;1;2;1;1;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;1;0;1;3;1;1;0;0;0;1;1;1;0;1;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;3;1;3;0;2;3;0;1;0;0;0;2;0;0;0;2;0;1;1;3;0;0;0;3;0;3;1;0;1;3;1;2;5;2;0;0;1;0;0;2;1;6;1;27;3;1;3;2;3;2;2;4;5;5;6;7;2;5;1;0;1;3;2;1;2;2;5;0;0;3;1;2;0;0;0;0;2;0;0;1;2;0;2;0;1;2;0;2;0;1;0;0;0;0;0;2;0
2016-KW02;0;3;0;1;0;0;1;1;2;2;0;0;1;0;0;11;2;0;1;1;0;2;0;0;1;4;6;3;2;1;3;0;2;0;0;0;0;0;0;1;1;5;0;0;0;1;2;0;0;0;0;2;0;0;0;1;2;1;2;0;0;1;0;1;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;4;2;1;0;0;1;0;0;0;3;2;0;1;3;7;1;2;10;0;3;1;1;1;2;1;1;1;0;0;0;3;1;0;2;0;0;2;0;0;1;1;0;2;0;0;1;0;0;0;6;1;1;1;0;3;3;6;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;2;0;1;1;1;0;0;1;0;1;0;0;0;1;1;0;1;5;0;0;0;2;1;1;0;0;1;2;0;0;1;0;0;0;1;4;0;1;2;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;1;1;0;2;0;0;2;2;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;4;0;0;0;0;0;2;0;0;3;0;0;0;2;0;2;2;1;3;1;1;0;1;1;25;0;0;0;2;3;1;1;2;1;3;0;11;0;0;0;2;0;4;29;2;2;3;8;1;6;2;5;5;8;6;4;5;2;2;0;4;2;1;1;1;1;5;14;0;1;1;5;0;0;0;0;1;1;0;2;1;0;1;1;0;0;1;21;1;2;0;2;0;0;1;2;0
2016-KW03;0;4;0;0;0;3;0;1;3;1;0;0;0;0;0;8;0;0;0;0;0;1;2;1;0;0;8;1;0;0;2;0;1;0;0;2;1;1;1;0;1;0;1;1;0;0;1;0;0;1;0;1;1;1;1;1;0;1;3;0;0;3;0;1;3;3;2;1;1;0;0;0;0;1;1;2;1;0;1;0;0;2;0;0;0;0;3;0;0;0;4;1;2;1;5;1;0;1;2;0;0;0;0;3;0;2;1;1;0;1;1;2;0;1;1;2;0;1;0;2;0;1;1;1;2;0;0;2;1;4;1;0;0;0;1;0;3;7;2;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;3;1;1;1;0;1;3;6;1;1;0;0;0;0;1;0;0;1;4;1;1;1;0;0;0;1;1;0;1;0;3;1;0;0;1;0;1;2;0;0;0;1;0;1;1;0;1;7;0;0;0;0;1;0;1;1;1;2;0;0;1;0;2;0;0;6;1;1;1;0;0;0;1;0;0;2;0;1;0;1;1;0;1;1;1;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;2;1;1;0;0;0;0;5;0;0;1;0;1;0;0;1;0;0;1;2;0;3;1;1;0;1;2;0;3;1;2;0;0;0;2;4;2;1;1;1;2;0;6;0;3;0;1;4;8;16;4;2;1;9;6;16;3;9;3;16;4;3;3;1;3;2;3;4;3;0;1;4;4;3;0;0;2;0;0;1;2;3;0;0;2;2;0;0;3;1;1;1;1;2;2;16;0;2;0;2;1;0;0
2016-KW04;1;2;1;1;0;1;0;5;0;3;0;2;0;1;0;22;3;0;0;1;0;0;0;0;0;3;5;1;0;1;1;0;3;0;1;0;0;0;0;0;1;2;1;0;0;1;0;0;0;0;0;1;2;0;2;1;0;0;2;0;0;2;0;1;1;2;1;1;0;0;0;0;3;0;2;2;1;1;2;4;0;1;2;1;1;2;2;0;0;0;2;0;3;0;2;3;0;3;6;4;0;2;4;4;0;3;0;2;1;1;3;7;0;1;0;2;0;1;1;0;1;0;0;0;4;0;1;2;0;1;3;2;1;3;4;1;3;3;3;0;1;0;1;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;1;2;0;1;1;0;0;1;0;2;1;1;0;0;0;0;0;2;11;2;1;0;2;0;0;0;0;1;1;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;11;0;0;1;1;0;0;0;0;0;4;3;0;2;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;3;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0;2;1;0;0;0;0;2;2;0;0;0;0;0;1;0;5;0;2;3;0;0;2;0;2;1;1;1;4;66;2;0;0;5;0;0;1;0;0;0;0;0;0;8;9;3;2;3;1;1;3;1;3;0;8;19;7;47;7;4;1;2;1;4;1;3;4;15;8;6;5;1;3;1;10;7;1;2;3;2;2;1;1;0;8;11;0;0;1;0;0;0;1;7;1;0;0;3;0;1;1;1;8;1;2;15;1;4;1;1;0
2016-KW05;1;1;1;3;0;3;2;1;1;0;1;0;1;0;0;15;1;1;0;1;0;1;0;1;0;2;11;2;0;2;1;1;0;3;1;0;0;0;1;2;1;1;0;0;0;0;2;0;0;0;0;0;5;0;2;0;1;0;5;2;0;3;0;1;4;4;0;1;0;0;0;1;0;0;0;1;1;0;0;16;1;3;0;3;0;0;1;0;1;0;23;2;1;1;0;2;2;0;1;1;0;1;2;1;0;0;0;0;0;3;3;2;0;0;0;0;0;7;0;2;0;0;0;1;3;0;0;0;0;0;2;3;0;2;2;0;3;3;2;1;2;1;1;2;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;0;0;1;3;1;3;0;1;0;0;1;1;3;0;0;0;1;0;4;0;2;1;0;0;2;0;0;2;0;2;6;2;1;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;2;0;1;6;3;3;1;0;5;2;0;1;1;0;0;9;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;0;1;0;0;0;0;4;0;0;0;0;2;0;1;0;1;0;1;0;0;0;1;2;2;1;0;1;0;0;0;0;0;2;1;2;1;0;0;1;1;0;0;0;0;1;1;0;0;1;2;2;2;2;1;9;2;0;0;6;0;1;0;1;1;3;0;0;5;13;17;8;12;1;3;0;1;1;1;1;1;4;7;19;18;3;1;11;5;7;2;5;2;27;30;3;8;4;0;1;9;6;3;0;2;1;1;0;0;1;2;6;0;0;0;2;0;0;0;2;0;0;5;0;0;4;2;0;4;8;1;5;1;2;1;1;0
2016-KW06;0;2;2;0;1;0;1;1;1;2;1;1;1;0;1;20;1;0;0;0;1;1;1;0;0;5;6;2;0;0;1;1;0;1;1;1;0;1;1;0;4;1;0;1;1;0;0;0;0;0;2;0;3;2;0;0;0;0;7;0;0;4;1;1;5;1;2;4;1;0;0;0;1;1;1;0;0;1;0;6;0;3;0;5;0;1;1;0;0;0;17;0;2;0;0;2;0;1;1;1;0;0;0;3;1;3;1;0;1;2;2;6;5;1;0;0;0;5;0;1;2;1;0;2;2;0;0;1;0;0;6;1;0;0;2;0;5;5;1;1;2;1;0;0;0;1;0;0;0;1;24;0;0;0;1;1;1;1;0;0;2;0;0;0;0;0;0;1;0;0;6;0;0;1;1;0;0;0;0;2;2;1;1;4;0;1;0;0;0;0;1;0;3;1;0;0;0;1;2;0;0;1;0;1;1;0;1;0;1;3;1;0;0;2;0;2;0;0;0;1;0;0;1;6;2;1;0;1;1;0;0;0;1;3;1;0;0;0;2;3;3;4;0;0;0;0;0;0;0;0;0;3;4;1;0;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;1;1;0;1;1;1;3;0;0;3;0;1;1;4;0;0;0;0;0;0;0;0;0;1;0;2;1;3;0;0;2;0;0;0;1;1;2;2;3;2;15;6;1;1;2;0;1;4;4;2;3;0;0;6;3;3;4;4;4;1;0;1;2;14;0;3;2;6;10;12;2;2;4;6;1;4;10;1;13;14;3;11;0;8;0;7;0;3;0;2;5;3;2;0;2;2;4;0;1;1;0;0;0;0;1;0;1;2;1;0;0;11;4;0;0;0;3;0;1;2;2;0
2016-KW07;0;1;16;2;0;0;0;4;3;1;0;0;2;0;0;42;0;0;1;0;2;0;1;0;0;3;7;2;1;1;1;0;0;1;1;3;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;2;0;0;1;2;2;0;6;0;0;2;0;1;5;4;0;2;0;0;0;0;0;1;1;2;1;2;0;3;0;2;0;0;0;0;5;0;0;0;6;2;2;1;0;0;3;2;2;1;0;1;0;8;0;4;0;0;0;0;2;3;5;1;0;3;0;2;0;6;1;0;1;1;3;0;1;2;3;0;3;1;0;2;2;0;3;5;0;3;0;3;1;1;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;2;0;0;3;1;0;2;2;2;0;1;1;2;0;0;0;0;0;1;2;2;0;0;1;0;2;2;0;0;0;1;0;3;0;0;1;0;0;1;1;0;3;0;0;0;1;0;1;1;0;3;10;0;1;0;0;1;2;1;0;0;2;0;1;0;1;1;3;0;8;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;2;5;0;0;0;5;0;1;0;2;0;0;1;0;0;0;1;0;1;1;1;3;1;1;0;0;2;0;0;0;5;0;0;1;3;0;1;0;1;0;0;0;3;0;3;1;0;5;0;0;1;3;1;4;5;6;1;8;3;0;1;4;0;1;1;6;7;14;2;3;2;13;2;13;6;1;1;2;1;3;0;1;7;18;2;5;3;4;3;2;9;8;1;8;5;15;13;4;13;2;4;0;8;1;1;3;0;7;2;3;0;5;0;0;1;2;3;2;1;1;1;2;1;0;2;4;0;1;6;8;1;2;0;1;0;1;0;1;0
